"","Date","Day","HighTemp","LowTemp","Precipitation","QueensboroBridge","Total"
"1",43009,43009,66.9,50,0,4092,15975
"2",43010,43010,72,52,0,5722,23784
"3",43011,43011,70,57,0,6363,25280
"4",43012,43012,75,55.9,0,6238,25477
"5",43013,43013,82,64.9,0,5998,23942
"6",43014,43014,81,69.1,0,5675,22197
"7",43015,43015,80.1,66,0,4576,18218
"8",43016,43016,77,72,0.22,2327,9174
"9",43017,43017,75.9,72,0.26,2642,8940
"10",43018,43018,80.1,66,0,6421,26050
"11",43019,43019,75,64.9,0.06,5559,20657
"12",43020,43020,63,55.9,0.07,4603,18140
"13",43021,43021,64.9,52,0,5240,20554
"14",43022,43022,71.1,62.1,0.08,3734,14712
"15",43023,43023,72,66,0.05,3793,15190
"16",43024,43024,60.1,52,0.01,5045,19939
"17",43025,43025,57.9,43,0,5249,20885
"18",43026,43026,71.1,50,0,5753,23023
"19",43027,43027,70,55.9,0,6167,24034
"20",43028,43028,73,57.9,0,5814,22484
"21",43029,43029,78.1,57,0,4940,18479
"22",43030,43030,75.9,57,0,4474,17513
"23",43031,43031,73.9,64,0,5975,22931
"24",43032,43032,73,66.9,0.2,2682,9501
"25",43033,43033,64.9,57.9,0,5856,23237
"26",43034,43034,57,53.1,0,5011,18751
"27",43035,43035,62.1,48,0,5181,20391
"28",43036,43036,68,55.9,0,4069,15938
"29",43037,43037,64.9,61,3.03,965,2835
"30",43038,43038,55,46,0.25,2924,10865
"31",43039,43039,54,44,0,4883,19101
